genus	Kingdom	Phylum	Class	Order	Family	mean_rel_abund_pct
Colidextribacter	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	0.0424
[Eubacterium] eligens group	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	0.0423
Odoribacter	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	0.0411
NK4A214 group	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	0.04
Chryseobacterium	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	0.0397
Knoellia	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Intrasporangiaceae	0.0396
Parvimonas	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Family XI	0.0372
Prevotellaceae NK3B31 group	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	0.0367
Vulcaniibacterium	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	0.0366
Atopococcus	Bacteria	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	0.0365
Tundrisphaera	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	0.036
Psychrobacter	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	0.0352
UCG-005	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	0.0342
Atopobium	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	0.0341
Rathayibacter	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	0.034
Extibacter	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	0.0339
Exiguobacterium	Bacteria	Bacillota	Bacilli	Exiguobacterales	Exiguobacteraceae	0.0334
Methylobacillus	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Methylophilaceae	0.0334
Negativibacillus	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	0.0334
Methylopila	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylopilaceae	0.0313
Segatella	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	0.0304
